id,title,tags,imdbId
2223.0,avatar,in the 22nd centuri a parapleg marin is dispatch to the moon pandora on a uniqu mission but becom torn between follow order and protect an alien civil action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweav stephenlang michellerodriguez jamescameron enter the world of pandora,
2223.0,pirates of the caribbean: at world's end,captain barbossa long believ to be dead ha come back to life and is head to the edg of the earth with will turner and elizabeth swann but noth is quit as it seem adventur fantasi action ocean drugabus exoticisland eastindiatradingcompani loveofoneslif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley stellanskarsgård chowyunfat goreverbinski at the end of the world the adventur begin,
2223.0,spectre,a cryptic messag from bond past send him on a trail to uncov a sinist organ while m battl polit forc to keep the secret servic aliv bond peel back the layer of deceit to reveal the terribl truth behind spectr action adventur crime spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom danielcraig christophwaltz léaseydoux ralphfienn monicabellucci sammend a plan no one escap,
2223.0,the dark knight rises,follow the death of district attorney harvey dent batman assum respons for dent crime to protect the late attorney reput and is subsequ hunt by the gotham citi polic depart eight year later batman encount the mysteri selina kyle and the villain bane a new terrorist leader who overwhelm gotham finest the dark knight resurfac to protect a citi that ha brand him an enemi action crime drama thriller dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant coverup superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman christianbal michaelcain garyoldman annehathaway tomhardi christophernolan the legend end,
2223.0,john carter,john carter is a warweari former militari captain who inexplic transport to the mysteri and exot planet of barsoom mar and reluctantli becom embroil in an epic conflict it a world on the brink of collaps and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hand action adventur sciencefict basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d taylorkitsch lynncollin samanthamorton willemdafo thomashadenchurch andrewstanton lost in our world found in anoth,
2223.0,spider-man 3,the seemingli invinc spiderman goe up against an allnew crop of villain includ the shapeshift sandman while spiderman superpow are alter by an alien organ hi alter ego peter parker deal with nemesi eddi brock and also get caught up in a love triangl fantasi action adventur dualident amnesia sandstorm loveofoneslif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng tobeymaguir kirstendunst jamesfranco thomashadenchurch tophergrac samraimi the battl within,
2223.0,tangled,when the kingdom most wantedand most charmingbandit flynn rider hide out in a mysteri tower he taken hostag by rapunzel a beauti and feisti towerbound teen with 70 feet of magic golden hair flynn curiou captor who look for her ticket out of the tower where she been lock away for year strike a deal with the handsom thief and the unlik duo set off on an actionpack escapad complet with a supercop hors an overprotect chameleon and a gruff gang of pub thug anim famili hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick zacharylevi mandymoor donnamurphi ronperlman mcgainey byronhoward nathangreno theyr take adventur to new length,
2223.0,avengers: age of ultron,when toni stark tri to jumpstart a dormant peacekeep program thing go awri and earth mightiest hero are put to the ultim test as the fate of the planet hang in the balanc as the villain ultron emerg it is up to the aveng to stop him from enact hi terribl plan and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventur action adventur sciencefict marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr chrishemsworth markruffalo chrisevan scarlettjohansson josswhedon a new age ha come,
2223.0,harry potter and the half-blood prince,as harri begin hi sixth year at hogwart he discov an old book mark as properti of the halfblood princ and begin to learn more about lord voldemort dark past adventur fantasi famili witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf danielradcliff rupertgrint emmawatson tomfelton michaelgambon davidy dark secret reveal,
2223.0,batman v superman: dawn of justice,fear the action of a godlik super hero left uncheck gotham citi own formid forc vigilant take on metropoliss most rever modernday savior while the world wrestl with what sort of hero it realli need and with batman and superman at war with one anoth a new threat quickli aris put mankind in greater danger than it ever known befor action adventur fantasi dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavil galgadot amyadam jesseeisenberg zacksnyd justic or reveng,
